constraint_type	word1	word2	headline	generated_joke
headline	-	-	Zimbabwean accountant's estate sequestrated for R17 million fraud	Zimbabwean accountant's estate sequestrated for R17 million fraud Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Antarctic expedition to search for bird flu on Heard Island	Antarctic expedition to search for bird flu on Heard Island And here I was thinking my life choices were questionable.
headline	-	-	Jason Kelce celebrates Taylor Swift and Travis Kelce's 'proposal heard 'round the world'	Jason Kelce celebrates Taylor Swift and Travis Kelce's 'proposal heard 'round the world' And here I was thinking my life choices were questionable.
headline	-	-	Why Watership Down has no place in my list of the greatest animated films	Why Watership Down has no place in my list of the greatest animated films And here I was thinking my life choices were questionable.
headline	-	-	Where have all the crabs gone? How development is squeezing out southern Malaysia’s sea people	Where have all the crabs gone? How development is squeezing out southern Malaysia’s sea people Honestly, that already sounds like the setup to a bad joke.
headline	-	-	‘I turned down $20m to do Terminator 3. I can’t be bought, dude’: Ridley Scott on directing, Daleks and ... cherry jam	‘I turned down $20m to do Terminator 3. I can’t be bought, dude’: Ridley Scott on directing, Daleks and ... cherry jam Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Does the multiverse exist?	Does the multiverse exist? And here I was thinking my life choices were questionable.
headline	-	-	Taylor Swift’s engagement ring: Find out what expert at Rome’s oldest jewelry store thinks it cost	Taylor Swift’s engagement ring: Find out what expert at Rome’s oldest jewelry store thinks it cost And here I was thinking my life choices were questionable.
headline	-	-	What Can I Wear on a Plane Besides Leggings and Sweats?	What Can I Wear on a Plane Besides Leggings and Sweats? And here I was thinking my life choices were questionable.
headline	-	-	Japan releases AI-generated Mount Fuji eruption video to encourage Tokyo residents to be prepared	Japan releases AI-generated Mount Fuji eruption video to encourage Tokyo residents to be prepared And here I was thinking my life choices were questionable.
headline	-	-	Discover the Bellville Business Expo: a hub for innovation and networking	Discover the Bellville Business Expo: a hub for innovation and networking Honestly, that already sounds like the setup to a bad joke.
headline	-	-	How to make sure you lose fat, not muscle, when you’re on a diet	How to make sure you lose fat, not muscle, when you’re on a diet And here I was thinking my life choices were questionable.
headline	-	-	Bad Bunny reveals why he was 'a little' nervous about acting in 'Caught Stealing'	Bad Bunny reveals why he was 'a little' nervous about acting in 'Caught Stealing' And here I was thinking my life choices were questionable.
headline	-	-	What ‘sunburn cinema’ tells us about the Great British holiday	What ‘sunburn cinema’ tells us about the Great British holiday And here I was thinking my life choices were questionable.
headline	-	-	Big hits, great saves: B.C. players shine at inaugural Women's Para Hockey World Championships	Big hits, great saves: B.C. players shine at inaugural Women's Para Hockey World Championships And here I was thinking my life choices were questionable.
headline	-	-	What can you expect from Electric Picnic 2025?	What can you expect from Electric Picnic 2025? And here I was thinking my life choices were questionable.
headline	-	-	Grizzly bear attacks travel blogger’s tent	Grizzly bear attacks travel blogger’s tent And here I was thinking my life choices were questionable.
headline	-	-	It could be a La Niña winter. Here’s what your region might see	It could be a La Niña winter. Here’s what your region might see And here I was thinking my life choices were questionable.
headline	-	-	Is entrepreneur Bryan Johnson going to live forever?	Is entrepreneur Bryan Johnson going to live forever? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Klamath: America's largest river restoration project	Klamath: America's largest river restoration project And here I was thinking my life choices were questionable.
headline	-	-	Forget Philly: Locals and tourists chow down on moose and reindeer cheesesteaks in northern Sweden	Forget Philly: Locals and tourists chow down on moose and reindeer cheesesteaks in northern Sweden And here I was thinking my life choices were questionable.
headline	-	-	A famous Australian song almost didn't sound the way it does today	A famous Australian song almost didn't sound the way it does today And here I was thinking my life choices were questionable.
headline	-	-	Family planned to emigrate before securing Tuath Housing Cost Rental property	Family planned to emigrate before securing Tuath Housing Cost Rental property And here I was thinking my life choices were questionable.
headline	-	-	Asian hornet nest located in Cork city following hunt	Asian hornet nest located in Cork city following hunt And here I was thinking my life choices were questionable.
headline	-	-	Computer science degrees were once a golden ticket. Now, jobs are hard to find	Computer science degrees were once a golden ticket. Now, jobs are hard to find And here I was thinking my life choices were questionable.
headline	-	-	Robot rabbits the latest tool in battle to control invasive Burmese pythons in Everglades	Robot rabbits the latest tool in battle to control invasive Burmese pythons in Everglades And here I was thinking my life choices were questionable.
headline	-	-	AI detects sound of frog species threatened in Southern California	AI detects sound of frog species threatened in Southern California And here I was thinking my life choices were questionable.
headline	-	-	Your AI therapist might be illegal soon. Here’s why	Your AI therapist might be illegal soon. Here’s why Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Denmark Apologizes After Birth Control Scandal in Greenland	Denmark Apologizes After Birth Control Scandal in Greenland And here I was thinking my life choices were questionable.
headline	-	-	The nuclear legacy hidden in your body	The nuclear legacy hidden in your body And here I was thinking my life choices were questionable.
headline	-	-	Shame and disgust': Why we find this STI so hard to talk about	Shame and disgust': Why we find this STI so hard to talk about And here I was thinking my life choices were questionable.
headline	-	-	Sarah Mitton stripped of Diamond League Trophy after winning throw disqualified	Sarah Mitton stripped of Diamond League Trophy after winning throw disqualified And here I was thinking my life choices were questionable.
headline	-	-	How Taylor Swift can plan her wedding (and Travis Kelce will also be there)	How Taylor Swift can plan her wedding (and Travis Kelce will also be there) Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Youth employment and sustainability at the heart of South Africa's G20 presidency	Youth employment and sustainability at the heart of South Africa's G20 presidency And here I was thinking my life choices were questionable.
headline	-	-	Drainage crews stayed to protect New Orleans during Katrina. What they’d face was unimaginable	Drainage crews stayed to protect New Orleans during Katrina. What they’d face was unimaginable And here I was thinking my life choices were questionable.
headline	-	-	Reeves considers tax raid on landlords	Reeves considers tax raid on landlords And here I was thinking my life choices were questionable.
headline	-	-	That ominous two-note theme and a malfunctioning mechanical shark: Jaws at 50	That ominous two-note theme and a malfunctioning mechanical shark: Jaws at 50 And here I was thinking my life choices were questionable.
headline	-	-	Exclusive: TikTok owner ByteDance sets valuation at over $330 billion as revenue grows, sources say	Exclusive: TikTok owner ByteDance sets valuation at over $330 billion as revenue grows, sources say And here I was thinking my life choices were questionable.
headline	-	-	The pH of the ocean is changing, and it could erode sharks’ teeth	The pH of the ocean is changing, and it could erode sharks’ teeth And here I was thinking my life choices were questionable.
headline	-	-	Recognise the warning signs: how overlooked burnout can sabotage your career	Recognise the warning signs: how overlooked burnout can sabotage your career And here I was thinking my life choices were questionable.
headline	-	-	Taylor Swift’s engagement is a great advert for the cult of celebrity	Taylor Swift’s engagement is a great advert for the cult of celebrity Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Bland, easy to follow, for fans of everything: what has the Netflix algorithm done to our films?	Bland, easy to follow, for fans of everything: what has the Netflix algorithm done to our films? And here I was thinking my life choices were questionable.
headline	-	-	Breakthrough in Australian soft plastics recycling	Breakthrough in Australian soft plastics recycling And here I was thinking my life choices were questionable.
headline	-	-	British expats in France hit with shock pension tax bills	British expats in France hit with shock pension tax bills And here I was thinking my life choices were questionable.
headline	-	-	Racism row erupts at US Open after ‘no class, no education’ insult	Racism row erupts at US Open after ‘no class, no education’ insult And here I was thinking my life choices were questionable.
headline	-	-	Punches and slaps: Watch as Mexican Senate debate ends in brawl	Punches and slaps: Watch as Mexican Senate debate ends in brawl And here I was thinking my life choices were questionable.
headline	-	-	‘A perfect symbiosis’: planting vines and other ways hot cities are creating cool spaces	‘A perfect symbiosis’: planting vines and other ways hot cities are creating cool spaces And here I was thinking my life choices were questionable.
headline	-	-	Tennis Handshakes, Controversy and the Spectacle of Elite Sport	Tennis Handshakes, Controversy and the Spectacle of Elite Sport And here I was thinking my life choices were questionable.
headline	-	-	How Tesla and Waymo's radically different robotaxi approaches will shape the industry	How Tesla and Waymo's radically different robotaxi approaches will shape the industry And here I was thinking my life choices were questionable.
headline	-	-	SARS cracks down on influencers: Free trips, brand deals now count as taxable income	SARS cracks down on influencers: Free trips, brand deals now count as taxable income And here I was thinking my life choices were questionable.
headline	-	-	Forecasters warn of tornadoes in US in coming days	Forecasters warn of tornadoes in US in coming days And here I was thinking my life choices were questionable.
headline	-	-	‘Something has to change’: Manchester United plunges to new low against fourth-division Grimsby Town	‘Something has to change’: Manchester United plunges to new low against fourth-division Grimsby Town And here I was thinking my life choices were questionable.
word	spray	chair	-	The spray walked into a chair and everyone pretended it was normal.
word	hammer	banana	-	The hammer walked into a banana and everyone pretended it was normal.
word	move	fridge	-	The move walked into a fridge and everyone pretended it was normal.
word	hammer	pumpkin	-	The hammer walked into a pumpkin and everyone pretended it was normal.
word	peel	pumpkin	-	The peel walked into a pumpkin and everyone pretended it was normal.
word	microwave	book	-	The microwave walked into a book and everyone pretended it was normal.
word	spray	door	-	The spray walked into a door and everyone pretended it was normal.
word	measure	pizza	-	The measure walked into a pizza and everyone pretended it was normal.
word	unplug	fridge	-	The unplug walked into a fridge and everyone pretended it was normal.
word	weigh	phone	-	The weigh walked into a phone and everyone pretended it was normal.
word	deseed	tomato	-	The deseed walked into a tomato and everyone pretended it was normal.
word	spray	cup	-	The spray walked into a cup and everyone pretended it was normal.
word	close	blender	-	The close walked into a blender and everyone pretended it was normal.
word	hammer	tomato	-	The hammer walked into a tomato and everyone pretended it was normal.
word	blend	pumpkin	-	The blend walked into a pumpkin and everyone pretended it was normal.
word	microwave	laptop	-	The microwave walked into a laptop and everyone pretended it was normal.
word	drill	eggs	-	The drill walked into a eggs and everyone pretended it was normal.
word	peel	coconut	-	The peel walked into a coconut and everyone pretended it was normal.
word	cut	shoes	-	The cut walked into a shoes and everyone pretended it was normal.
word	weigh	watermelon	-	The weigh walked into a watermelon and everyone pretended it was normal.
word	hammer	fridge	-	The hammer walked into a fridge and everyone pretended it was normal.
word	open	blender	-	The open walked into a blender and everyone pretended it was normal.
word	cut	coconut	-	The cut walked into a coconut and everyone pretended it was normal.
word	measure	bacon	-	The measure walked into a bacon and everyone pretended it was normal.
word	drop	fridge	-	The drop walked into a fridge and everyone pretended it was normal.
word	measure	pumpkin	-	The measure walked into a pumpkin and everyone pretended it was normal.
word	cut	laptop	-	The cut walked into a laptop and everyone pretended it was normal.
word	wash	keyboard	-	The wash walked into a keyboard and everyone pretended it was normal.
word	shake	tree	-	The shake walked into a tree and everyone pretended it was normal.
word	roll	potato	-	The roll walked into a potato and everyone pretended it was normal.
word	throw	phone	-	The throw walked into a phone and everyone pretended it was normal.
word	throw	orange	-	The throw walked into a orange and everyone pretended it was normal.
word	fry	phone	-	The fry walked into a phone and everyone pretended it was normal.
word	hammer	microwave	-	The hammer walked into a microwave and everyone pretended it was normal.
word	unplug	phone	-	The unplug walked into a phone and everyone pretended it was normal.
word	weigh	pumpkin	-	The weigh walked into a pumpkin and everyone pretended it was normal.
word	measure	microwave	-	The measure walked into a microwave and everyone pretended it was normal.
word	weigh	tomato	-	The weigh walked into a tomato and everyone pretended it was normal.
word	measure	watermelon	-	The measure walked into a watermelon and everyone pretended it was normal.
word	throw	spoon	-	The throw walked into a spoon and everyone pretended it was normal.
word	microwave	shoes	-	The microwave walked into a shoes and everyone pretended it was normal.
word	throw	shirt	-	The throw walked into a shirt and everyone pretended it was normal.
word	measure	oven	-	The measure walked into a oven and everyone pretended it was normal.
word	drink	egg	-	The drink walked into a egg and everyone pretended it was normal.
word	throw	cookie	-	The throw walked into a cookie and everyone pretended it was normal.
word	blend	phone	-	The blend walked into a phone and everyone pretended it was normal.
word	hammer	car	-	The hammer walked into a car and everyone pretended it was normal.
word	drill	bottle	-	The drill walked into a bottle and everyone pretended it was normal.
word	cut	towel	-	The cut walked into a towel and everyone pretended it was normal.
word	hammer	shoes	-	The hammer walked into a shoes and everyone pretended it was normal.
word	hammer	egg	-	The hammer walked into a egg and everyone pretended it was normal.
word	hammer	phone	-	The hammer walked into a phone and everyone pretended it was normal.
word	wash	cucumber	-	The wash walked into a cucumber and everyone pretended it was normal.
word	shake	table	-	The shake walked into a table and everyone pretended it was normal.
word	wash	watermelon	-	The wash walked into a watermelon and everyone pretended it was normal.
word	spray	book	-	The spray walked into a book and everyone pretended it was normal.
word	wash	microwave	-	The wash walked into a microwave and everyone pretended it was normal.
word	open	fridge	-	The open walked into a fridge and everyone pretended it was normal.
word	move	microwave	-	The move walked into a microwave and everyone pretended it was normal.
word	measure	shoes	-	The measure walked into a shoes and everyone pretended it was normal.
word	cut	car	-	The cut walked into a car and everyone pretended it was normal.
word	wash	window	-	The wash walked into a window and everyone pretended it was normal.
word	wash	tomato	-	The wash walked into a tomato and everyone pretended it was normal.
word	throw	flower	-	The throw walked into a flower and everyone pretended it was normal.
word	wash	rock	-	The wash walked into a rock and everyone pretended it was normal.
word	peel	corn	-	The peel walked into a corn and everyone pretended it was normal.
word	weigh	book	-	The weigh walked into a book and everyone pretended it was normal.
word	spray	microwave	-	The spray walked into a microwave and everyone pretended it was normal.
word	roll	carrot	-	The roll walked into a carrot and everyone pretended it was normal.
word	cut	keyboard	-	The cut walked into a keyboard and everyone pretended it was normal.
word	weigh	egg	-	The weigh walked into a egg and everyone pretended it was normal.
word	wash	fridge	-	The wash walked into a fridge and everyone pretended it was normal.
word	unplug	blender	-	The unplug walked into a blender and everyone pretended it was normal.
word	weigh	banana	-	The weigh walked into a banana and everyone pretended it was normal.
word	wash	door	-	The wash walked into a door and everyone pretended it was normal.
word	measure	flower	-	The measure walked into a flower and everyone pretended it was normal.
word	weigh	bottle	-	The weigh walked into a bottle and everyone pretended it was normal.
word	cut	phone	-	The cut walked into a phone and everyone pretended it was normal.
word	wash	apple	-	The wash walked into a apple and everyone pretended it was normal.
word	cut	pumpkin	-	The cut walked into a pumpkin and everyone pretended it was normal.
word	wash	towel	-	The wash walked into a towel and everyone pretended it was normal.
word	hammer	keyboard	-	The hammer walked into a keyboard and everyone pretended it was normal.
word	spray	table	-	The spray walked into a table and everyone pretended it was normal.
word	cut	rock	-	The cut walked into a rock and everyone pretended it was normal.
word	cut	book	-	The cut walked into a book and everyone pretended it was normal.
word	shake	hair	-	The shake walked into a hair and everyone pretended it was normal.
word	shake	lemon	-	The shake walked into a lemon and everyone pretended it was normal.
word	measure	carrots	-	The measure walked into a carrots and everyone pretended it was normal.
word	hammer	bottle	-	The hammer walked into a bottle and everyone pretended it was normal.
word	wash	blender	-	The wash walked into a blender and everyone pretended it was normal.
word	close	fridge	-	The close walked into a fridge and everyone pretended it was normal.
word	wash	oven	-	The wash walked into a oven and everyone pretended it was normal.
word	hammer	coconut	-	The hammer walked into a coconut and everyone pretended it was normal.
word	measure	laptop	-	The measure walked into a laptop and everyone pretended it was normal.
word	shake	tomato	-	The shake walked into a tomato and everyone pretended it was normal.
word	wash	chair	-	The wash walked into a chair and everyone pretended it was normal.
word	hammer	watermelon	-	The hammer walked into a watermelon and everyone pretended it was normal.
word	spray	eggs	-	The spray walked into a eggs and everyone pretended it was normal.
word	shake	flower	-	The shake walked into a flower and everyone pretended it was normal.
word	move	tree	-	The move walked into a tree and everyone pretended it was normal.
headline	-	-	Cooking Recipes, advice and inspiration for everyday cooking, special occasions and more.	Cooking Recipes, advice and inspiration for everyday cooking, special occasions and more. Honestly, that already sounds like the setup to a bad joke.
headline	-	-	5 key takeaways from the latest presidential debate Analysis and Comment	5 key takeaways from the latest presidential debate Analysis and Comment And here I was thinking my life choices were questionable.
headline	-	-	Business live Euro and Paris stock market slides as French prime minister resigns	Business live Euro and Paris stock market slides as French prime minister resigns Honestly, that already sounds like the setup to a bad joke.
headline	-	-	David Muir reports on daughter thanking nurse who saved dad at Bills game	David Muir reports on daughter thanking nurse who saved dad at Bills game And here I was thinking my life choices were questionable.
headline	-	-	11 movies you can safely watch with your parents — and grandparents — and all truly enjoy	11 movies you can safely watch with your parents — and grandparents — and all truly enjoy And here I was thinking my life choices were questionable.
headline	-	-	Egypt says 3,000-year-old bracelet was stolen and melted down	Egypt says 3,000-year-old bracelet was stolen and melted down And here I was thinking my life choices were questionable.
headline	-	-	Epic Mercury comeback evens Lynx series; Wilson stars in Aces win	Epic Mercury comeback evens Lynx series; Wilson stars in Aces win And here I was thinking my life choices were questionable.
headline	-	-	Business Nearly a third of bosses report increase in cyber-attacks on their supply chains	Business Nearly a third of bosses report increase in cyber-attacks on their supply chains And here I was thinking my life choices were questionable.
headline	-	-	I cut up 15 bike locks to find the best in the US. Here are my favorites	I cut up 15 bike locks to find the best in the US. Here are my favorites And here I was thinking my life choices were questionable.
headline	-	-	How a bet landed Abraham Lincoln in the Wrestling Hall of Fame	How a bet landed Abraham Lincoln in the Wrestling Hall of Fame And here I was thinking my life choices were questionable.
headline	-	-	Canadian writer David Szalay shortlisted for 2025 Booker Prize	Canadian writer David Szalay shortlisted for 2025 Booker Prize Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Highest UK government borrowing in August for five years	Highest UK government borrowing in August for five years Honestly, that already sounds like the setup to a bad joke.
headline	-	-	New hand luggage liquid rules in force at Dublin Airport	New hand luggage liquid rules in force at Dublin Airport And here I was thinking my life choices were questionable.
headline	-	-	Was it worth it?': BBC correspondents assess Trump's state visit	Was it worth it?': BBC correspondents assess Trump's state visit And here I was thinking my life choices were questionable.
headline	-	-	‘The Fate of Ophelia’ music video premieres online 	‘The Fate of Ophelia’ music video premieres online  And here I was thinking my life choices were questionable.
headline	-	-	France’s prime minister resigns less than a month after appointment	France’s prime minister resigns less than a month after appointment And here I was thinking my life choices were questionable.
headline	-	-	Harry follows in Diana’s footsteps as he joins new Aids campaign	Harry follows in Diana’s footsteps as he joins new Aids campaign And here I was thinking my life choices were questionable.
headline	-	-	Syrians vote in the first parliamentary election since Assad’s fall, in photos	Syrians vote in the first parliamentary election since Assad’s fall, in photos And here I was thinking my life choices were questionable.
headline	-	-	Strikes and protests roil France, pitting the streets against Macron and his new prime minister	Strikes and protests roil France, pitting the streets against Macron and his new prime minister And here I was thinking my life choices were questionable.
headline	-	-	When does trying to have a healthier baby become eugenics-y?	When does trying to have a healthier baby become eugenics-y? And here I was thinking my life choices were questionable.
headline	-	-	Travel‘Immortalised by Monet’: the enduring seaside charm of Trouville, Normandy	Travel‘Immortalised by Monet’: the enduring seaside charm of Trouville, Normandy And here I was thinking my life choices were questionable.
headline	-	-	Trump says TV networks opposed to him should 'maybe' lose licence	Trump says TV networks opposed to him should 'maybe' lose licence And here I was thinking my life choices were questionable.
headline	-	-	Easy Mode Get an easy version of one of the hardest crossword puzzles of the week.	Easy Mode Get an easy version of one of the hardest crossword puzzles of the week. And here I was thinking my life choices were questionable.
headline	-	-	Nations ratify the world’s first treaty to protect international waters	Nations ratify the world’s first treaty to protect international waters And here I was thinking my life choices were questionable.
headline	-	-	Americans are socialising less - here’s why that’s worrying Derek Thompson talks about stark declines in the amount of time Americans spend at parties with friends. See more	Americans are socialising less - here’s why that’s worrying Derek Thompson talks about stark declines in the amount of time Americans spend at parties with friends. See more And here I was thinking my life choices were questionable.
headline	-	-	Democrats are becoming a force in traditionally conservative The Villages	Democrats are becoming a force in traditionally conservative The Villages And here I was thinking my life choices were questionable.
headline	-	-	Man arrested in connection with cyber-attack on airports	Man arrested in connection with cyber-attack on airports And here I was thinking my life choices were questionable.
headline	-	-	The Eagles got away with a penalty on a tush push against the Chiefs, NFL admits	The Eagles got away with a penalty on a tush push against the Chiefs, NFL admits And here I was thinking my life choices were questionable.
headline	-	-	As part of reforms, SafeSport seeks to improve communication on potential for long cases	As part of reforms, SafeSport seeks to improve communication on potential for long cases And here I was thinking my life choices were questionable.
headline	-	-	‘Directors would be like: this is the Asian part’: Slow Horses’ Christopher Chung on battling to become a leading man	‘Directors would be like: this is the Asian part’: Slow Horses’ Christopher Chung on battling to become a leading man Honestly, that already sounds like the setup to a bad joke.
headline	-	-	The Evening Catch up on big news, and wind down to end your day.	The Evening Catch up on big news, and wind down to end your day. And here I was thinking my life choices were questionable.
headline	-	-	FilmRiff Raff review – star-stuffed crime comedy with Bill Murray, Jennifer Coolidge and Ed Harris	FilmRiff Raff review – star-stuffed crime comedy with Bill Murray, Jennifer Coolidge and Ed Harris And here I was thinking my life choices were questionable.
headline	-	-	Mysterious planet is gobbling 6 billion tons of gas and dust a second	Mysterious planet is gobbling 6 billion tons of gas and dust a second Honestly, that already sounds like the setup to a bad joke.
headline	-	-	A moment that changed meI told my dad I was queer – and he said he found it hard to love me	A moment that changed meI told my dad I was queer – and he said he found it hard to love me And here I was thinking my life choices were questionable.
